,Unnamed: 0,Name,Keywords (10),Top Keywords List,Top Keywords,region,Price_range,lun_di,save,Category,Category_1,Location_y,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,region_1
66,66,소와나 성수,"서비스, 고기, 좋은, 와나, 부위, 분위기, 친절하게, 마카, 음식, 입문","['서비스 좋은', '분위기 좋은']","서비스 좋은, 분위기 좋은",서울특별시 성동구 서울숲2길,소와나 성수,점심,"1,364",소고기구이,한식,서울숲,성동구,예약,4.7,149,60000.0,60000.0,50000.0,70000.0,50000.0,70000.0,서울특별시 성동구 서울숲2길
67,67,수랑화,"음식, 분위기, 직원, 가족, 좋아요, 모시, 테이블, 맛있어요, 미나리, 서비스","['친절한', '서비스 좋은', '음식이 맛있는', '분위기 좋은']","친절한, 서비스 좋은, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 독서당로,점심 저녁 동일가 1 - 3만원,저녁,706,샤브샤브,한식,옥수,성동구,예약,4.5,186,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 독서당로
68,68,스시 히나타,"마카, 쉐프, 가격, 스시, 음식, 생일, 좋은, 퀄리티, 식사, 디너",['특별한 날'],특별한 날,서울특별시 성동구 무학로2길,점심 3.9만원 · 저녁 6.5만원,저녁,"8,285",스시오마카세,일식,상왕십리,성동구,예약,4.9,971,39000.0,65000.0,39000.0,39000.0,65000.0,65000.0,서울특별시 성동구 무학로2길
69,69,스시&스낵바 논데 (성수점),"음식, 가격, 마카, 스시, 메뉴, 사케, 좋은, 분위기, 서비스, 안주","['서비스 좋은', '분위기 좋은']","서비스 좋은, 분위기 좋은",서울특별시 성동구 왕십리로,점심 영업안함 · 저녁 3.9만원 - 4.5만원,저녁,"1,774",기타 오마카세,일식,서울숲,성동구,웨이팅,4.8,220,영업안함,67500.0,,,45000.0,90000.0,서울특별시 성동구 왕십리로
70,70,스시도쿠 더성수,"스시, 맛집, 메뉴, 스키야키, 이벤트, 좋았어요, 추천, 가격, 기분, 성수","['음식이 맛있는', '추천하는']","음식이 맛있는, 추천하는",서울특별시 성동구 서울숲6길,점심 1 - 3만원 · 저녁 1 - 7만원,점심,910,"스시,초밥",일식,서울숲,성동구,웨이팅,4.5,119,20000.0,40000.0,10000.0,30000.0,10000.0,70000.0,서울특별시 성동구 서울숲6길
71,71,스시도쿠 더성수,"스시, 맛집, 메뉴, 스키야키, 이벤트, 좋았어요, 추천, 가격, 기분, 성수","['음식이 맛있는', '추천하는']","음식이 맛있는, 추천하는",서울특별시 성동구 서울숲6길,점심 1 - 3만원 · 저녁 1 - 7만원,점심,910,"스시,초밥",일식,서울숲,성동구,예약,4.5,119,20000.0,40000.0,10000.0,30000.0,10000.0,70000.0,서울특별시 성동구 서울숲6길
72,72,스시도쿠 더성수,"스시, 맛집, 메뉴, 스키야키, 이벤트, 좋았어요, 추천, 가격, 기분, 성수","['음식이 맛있는', '추천하는']","음식이 맛있는, 추천하는",서울특별시 성동구 서울숲6길,점심 1 - 3만원 · 저녁 1 - 7만원,점심,910,"스시,초밥",일식,서울숲,성동구,예약-웨이팅,4.5,119,20000.0,40000.0,10000.0,30000.0,10000.0,70000.0,서울특별시 성동구 서울숲6길
73,73,스시도쿠 카미동,"스시, 미동, 데이트, 메뉴, 왕십리, 좋았습니다, 주문, 테이블, 모임, 이벤트","['특별한 날', '데이트/연인과 함께']","특별한 날, 데이트/연인과 함께",서울특별시 성동구 왕십리로,점심 저녁 동일가 1 - 6만원,점심,"1,425",일식,일식,왕십리,성동구,웨이팅,4.6,205,35000.0,35000.0,10000.0,60000.0,10000.0,60000.0,서울특별시 성동구 왕십리로
74,74,스시도쿠 카미동,"스시, 미동, 데이트, 메뉴, 왕십리, 좋았습니다, 주문, 테이블, 모임, 이벤트","['특별한 날', '데이트/연인과 함께']","특별한 날, 데이트/연인과 함께",서울특별시 성동구 왕십리로,점심 저녁 동일가 1 - 6만원,점심,"1,425",일식,일식,왕십리,성동구,예약,4.6,205,35000.0,35000.0,10000.0,60000.0,10000.0,60000.0,서울특별시 성동구 왕십리로
75,75,스시도쿠 카미동,"스시, 미동, 데이트, 메뉴, 왕십리, 좋았습니다, 주문, 테이블, 모임, 이벤트","['특별한 날', '데이트/연인과 함께']","특별한 날, 데이트/연인과 함께",서울특별시 성동구 왕십리로,점심 저녁 동일가 1 - 6만원,점심,"1,425",일식,일식,왕십리,성동구,예약-웨이팅,4.6,205,35000.0,35000.0,10000.0,60000.0,10000.0,60000.0,서울특별시 성동구 왕십리로
76,76,스시무카,"식사, 음식, 셰프, 최고, 서비스, 스시, 좋은, 맛있게, 시간, 좋고","['음식이 맛있는', '서비스 좋은', '추천하는']","음식이 맛있는, 서비스 좋은, 추천하는",서울특별시 성동구 왕십리로,점심 4 - 9만원 · 저녁 8 - 19만원,점심,"1,075",스시오마카세,일식,상왕십리,성동구,예약,4.9,153,65000.0,135000.0,40000.0,90000.0,80000.0,190000.0,서울특별시 성동구 왕십리로
77,77,스케줄 성수,"음식, 분위기, 좋은, 좋고, 좋아요, 친구, 시간, 파스타, 성수, 맛있고","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 아차산로,점심 5만원 · 저녁 8.5만원,점심,"9,999+",이탈리아음식,양식,성수,성동구,예약,4.4,2069,35000.0,35000.0,20000.0,50000.0,20000.0,50000.0,서울특별시 성동구 아차산로
78,78,시옹마오,"우육, 튀김, 맛있어요, 음식, 가지, 만두, 맛있게, 치킨, 맛있고, 맛있었어요",['음식이 맛있는'],음식이 맛있는,서울특별시 성동구 연무장7길,점심 저녁 동일가 1 - 2만원,점심,817,아시아음식,아시아음식,성수,성동구,예약,4.7,117,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울특별시 성동구 연무장7길
79,79,신팡이,"고기, 소스, 친구, 돼지, 분위기, 인테리어, 돼지고기, 맛있게, 반찬, 맛있는","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 행당로17길,점심 1 - 2만원 · 저녁 1 - 3만원,저녁,294,돼지고기구이,한식,왕십리,성동구,예약,5.0,313,15000.0,20000.0,10000.0,20000.0,10000.0,30000.0,서울특별시 성동구 행당로17길
80,80,써니눅,"뇨끼, 파스타, 메뉴, 음식, 대파, 크림, 맛있었어요, 리조또, 라따뚜이, 맛있는",['음식이 맛있는'],음식이 맛있는,서울특별시 성동구 뚝섬로11길,점심 저녁 동일가 1 - 4만원,저녁,"3,546",브런치,양식,성수,성동구,예약,4.7,265,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 뚝섬로11길
81,81,쏘티,"와인, 음식, 분위기, 맛있고, 메뉴, 친구, 서비스, 좋은, 최고, 파스타","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는",서울특별시 성동구 성덕정15길,점심 저녁 동일가 1 - 2만원,저녁,"1,940",와인,주류,성수,성동구,예약,4.8,132,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울특별시 성동구 성덕정15길
82,82,아카이브 서울,"와인, 분위기, 루프, 음식, 좋은, 직원, 추천, 맛집, 자리, 맛있고","['추천하는', '분위기 좋은', '친절한', '주류', '음식이 맛있는']","추천하는, 분위기 좋은, 친절한, 주류, 음식이 맛있는",서울특별시 성동구 왕십리로4길,점심 영업안함 · 저녁 1 - 3만원,저녁,"6,100",와인,주류,성수,성동구,예약,4.7,140,영업안함,20000.0,,,10000.0,30000.0,서울특별시 성동구 왕십리로4길
83,83,아타리,"분위기, 시간, 아타리, 꼬치, 야키토리, 예약, 좋았어요, 맛있고, 메뉴, 서비스","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 성덕정19길,점심 영업안함 · 저녁 1 - 4만원,저녁,"9,999+",야키토리,일식,성수,성동구,예약,4.7,597,영업안함,25000.0,,,10000.0,40000.0,서울특별시 성동구 성덕정19길
84,84,에디슨바이댄,"음식, 튀김, 분위기, 스테이크, 좋은, 레몬, 루프, 맛있어요, 버섯, 소르베","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 서울숲2길,점심 저녁 동일가 1 - 4만원,저녁,"3,379",아메리칸음식,양식,서울숲,성동구,예약,4.8,157,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 서울숲2길
85,85,에보 오스테리아,"음식, 파스타, 생면, 와인, 최고, 맛있어요, 분위기, 좋고, 추천, 맛있게","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는",서울특별시 성동구 상원길,점심 저녁 동일가 1 - 5만원,점심,"3,262",양식,양식,성수,성동구,예약,4.9,258,30000.0,30000.0,10000.0,50000.0,10000.0,50000.0,서울특별시 성동구 상원길
86,86,엘로코 El Loco,"음식, 메뉴, 분위기, 와인, 요리, 서비스, 추천, 데이트, 소스, 식사","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '데이트/연인과 함께']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 데이트/연인과 함께",서울특별시 성동구 동일로,점심 6만원 · 저녁 6-10만원,저녁,"5,170",스페인음식,양식,성수,성동구,예약,4.9,356,60000.0,80000.0,60000.0,60000.0,60000.0,100000.0,서울특별시 성동구 동일로
87,87,오르트oort,"음식, 좋은, 메뉴, 분위기, 시간, 와인, 파스타, 맛있었습니다, 맛있고, 맛있습니다","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 마장로,점심 영업안함 · 저녁 1 - 4만원,저녁,840,양식,양식,왕십리,성동구,예약,4.7,120,영업안함,25000.0,,,10000.0,40000.0,서울특별시 성동구 마장로
88,88,오블리비언 Oblivion,"와인, 음식, 추천, 메뉴, 좋은, 공간, 파스타, 요리, 시간, 조합","['주류', '추천하는']","주류, 추천하는",서울특별시 성동구 왕십리로21길,점심 가격변동 · 저녁 가격변동,저녁,595,양식,양식,왕십리,성동구,예약,5.0,95,가격변동,가격변동,,,,,서울특별시 성동구 왕십리로21길
89,89,오스테리아 파로,"음식, 파스타, 맛있었어요, 분위기, 뇨끼, 메뉴, 주문, 좋은, 스테이크, 트러플","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 서울숲6길,점심 저녁 동일가 1 - 7만원,저녁,"2,238",파스타,양식,서울숲,성동구,예약,4.5,112,40000.0,40000.0,10000.0,70000.0,10000.0,70000.0,서울특별시 성동구 서울숲6길
90,90,옥스라이브파이어그릴 성수,"음식, 기념일, 좋은, 분위기, 와인, 시간, 직원, 코스, 식사, 고민","['친절한', '주류', '특별한 날', '분위기 좋은']","친절한, 주류, 특별한 날, 분위기 좋은",서울특별시 성동구 둘레15길,점심 영업안함 · 저녁 9.8만원,저녁,"2,370",코스요리,퓨전,성수,성동구,예약,4.9,207,영업안함,98000.0,,,98000.0,98000.0,서울특별시 성동구 둘레15길
