Name,Category_Location,Rating,Review,Description,Price_Range
텅스페이스 성수,케이크 • 성수,4.7,(10),오브제 스타일의 독창적인 디저트를 선보이는 성수동의 핫 플레이스,픽업가 1 - 7만원
블루벨벳,"카페,디저트 • 도산공원",NA,NA,고대 유럽에 온 것 같은 분위기를 자아내는 공간에서 따뜻한 파이와 커피를 판매하는 디저트 카페,픽업가 1 - 2만원
버터컵 베이커리,케이크 • 을지로,NA,NA,바쁜 도심 속에 다양한 디저트과 커피를 즐길 수 있는 테라스 디저트 카페,픽업가 1 - 3만원
터틀힙 케이크,케이크 • 연남,4.9,(11),"누적판매 20만개, 주문제작 케이크 전문점 터틀힙입니다.",픽업가 9천원 - 5만원
케익공방 잠실점,케이크 • 석촌,4.7,(7),레터링으로 마음을 전할 수 있는 우유생크림 수제케이크,픽업가 4 - 15만원
디어무드 더모먼트,케이크 • 선릉,5.0,(1),"특별한 순간, 특별한 무드를 선물하세요",픽업가 5 - 10만원
위디프,케이크 • 영등포,NA,NA,건강한 재료로 만드는 글루텐프리 쌀디저트 전문점,픽업가 3 - 7만원
블룸필즈,케이크 • 교대,5.0,(16),아름다운 정원을 담은 플라워 / 생화케이크 샵,픽업가 7.5 - 24만원
레이네,케이크 • 이수,5.0,(13),수채화 느낌이 매력적인 커스텀케이크,픽업가 2 - 7만원
온에떼라,케이크 • 성수,4.9,(5),독창적인 무스케익과 쁘띠갸또를 선보이는 파인 디저트 파티세리,픽업가 1 - 5만원
안다즈 서울 강남 아츠,케이크 • 압구정,4.7,(4),"최신 트렌드의 디저트 및 페이스트리, 다양한 음료를 선보이는 라운지 카페",픽업가 6 - 8만원
콜렉티보 디타워점,케이크 • 광화문,NA,NA,콜렉티보 디타워점에는 맛있는 커피와 달콤한 케이크가 있습니다.,픽업가 3 - 4만원
스윗미업,케이크 • 연남,5.0,(2),비비드한 컬러를 사용한 레터링케이크샵,픽업가 3.0 - 5.5만원
몬드리안 블라인드 스팟,케이크 • 이태원,4.6,(4),최상의 맛을 자랑하는 제철 메뉴로만 구성된 화려한 비쥬얼 뿐만 아니라 황홀한 맛을 선사하는 시즌별 델리 케이크를 선보이는 곳,픽업가 4 - 7만원
주빌리,케이크 • 문정,NA,NA,"소중한 기념일, 세상 단 하나뿐인 꽃케이크를 선물할 수 있는 곳",픽업가 1 - 18만원
오와케이크 이대직영점,케이크 • 이대,4.4,(2),100% 동물성 생크림과 생과일을 사용하는 바스크 치즈 케이크 맛집,픽업가 3 - 5만원
노아베이커리 압구정점,케이크 • 압구정,NA,NA,건강을 전하는 노아베이커리,픽업가 3 - 5만원
미미미가든_cafe,케이크 • 청담,4.1,(10),"망고빙수, 애프터눈티 세트로 유명힌 베이커리 & 디저트 카페",픽업가 4 - 8만원
