Name,Rating,Review,Description,Price_Range,Label,Category,Location
다이조부 행운점,4.9,37,편안하고 아늑한 분위기의 바테이블 이자카야,점심 저녁 동일가 1 - 4만원,1,이자카야,서울대입구
"도마, 유즈라멘",4.7,178,소고기와 라멘을 함께 드실 수 있는 오마카세 맛집,점심 저녁 동일가 1 - 4만원,1,소고기구이,북촌
페페쥬집 PEPEZOOZIP,3.8,85,정원에서 음식과 와인을 즐기는 캐주얼 이탈리안 다이닝,점심 저녁 동일가 1 - 4만원,1,이탈리아음식,압구정로데오
독립밀방 서울역,4.1,132,"신라호텔 10년 경력의 오너 셰프가 운영하는 한옥 이탈리안 레스토랑 독립밀방을 서울역 역사 내 모던한 공간, 더 넓은 쾌적한 곳에서 만나실 수 있습니다.",점심 저녁 동일가 1 - 4만원,1,이탈리아음식,서울역
하씨타씨다이닝 Hotsy Totsy Dining,4.6,6,"브런치와 양식, 커피와 와인, 즐거운 사람들과 만족스러운 정찬",점심 저녁 동일가 1 - 4만원,1,브런치,서대문
카와세미,4.5,138,"다양한 일식요리와 경양식, 그리고 주류를 즐길 수 있는 도산공원 이자까야",점심 영업안함 · 저녁 1 - 4만원,1,이자카야,도산공원
텐바,4.8,476,"동갑내기 말띠 쉐프가 운영하는 퀄리티,가성비 있는 일식기반의 요리와 다양한 주류를 즐길 수 있는 공간입니다.*1인 1주류 주문이 필수입니다.*웨이팅 있을시 식사 시간이 2시간으로 제한되실수있는점 양해 부탁드립니다.",점심 영업안함 · 저녁 1 - 4만원,1,이자카야,성수
오우버,4.8,105,"감각적인 공간, 오픈테라스 와인바",점심 영업안함 · 저녁 1 - 4만원,1,와인,이태원
레드문,4.4,331,사천 요리를 즐기는 타파스 컨셉의 몽환적인 중식 다이닝,점심 영업안함 · 저녁 1 - 4만원,1,중식,한남
그라도스,4.8,168,스페니쉬 모던 타파스 & 캐쥬얼다이닝,점심 저녁 동일가 1 - 4만원,1,다이닝바,신사
다이닝 목로 압구정본점,4.7,109,근사한 분위기와 맛있는 안주로 유명한 퓨전 다이닝,점심 영업안함 · 저녁 1 - 4만원,1,다이닝바,압구정로데오
차차밀로,4.8,257,"한식 기반의 다양한 요리와 함께 즐기는 전통주, 와인",점심 1-4만원(주말 점심) · 저녁 1-4만원,1,다이닝바,연남
마마리와 뱅글,4.5,379,"1층 <마마리 마켓> 빵이나 반찬 구입 후2층 <마마리와 뱅글>에서 이용 가능하며, 단품 메뉴도 준비되어 있습니다.",점심 저녁 동일가 1 - 4만원,1,다이닝바,성수
