,Unnamed: 0,Name,Rating,Review,Description,Price_Range,Label,Category,Location,Location_1,Category_1,점심,저녁,픽업,min,max
1552,1552,우메돈,5.0,6,입에서 녹는 부드러운 식감과 하얀 튀김옷이 특징인 돈카츠 전문점,점심 저녁 동일가 1 - 3만원,예약,돈가스,충무로,중구,한식,1 - 3만원,1 - 3만원,,1,3
1553,1553,연남동와이탑,4.9,20,"서울3대비프웰링턴맛집가정집을 개조해서 따뜻하고 분위기있는 연남동 레스토랑16개 테이블로 60명가량 수용가능한 2,3층 레스토랑과20명가량 수용가능한 루프탑까지! 단체예약 가능한 룸도 있고 테이블 간격도 넓고 쾌적해서 데이트, 모임, 회식 모두 가능한 레스토랑",점심 저녁 동일가 1 - 3만원,예약,이탈리아음식,연남,마포구,양식,1 - 3만원,1 - 3만원,,1,3
1554,1554,제국한우짝갈비,5.0,1,당일 신선하고 최고좋은 품질의 최고 등급 한우,주말 점심 1-3만원 · 저녁 1-3만원,예약,소고기구이,강남구청,강남구,한식,주말  1-3만원 ·  1-3만원,주말  1-3만원 -  1-3만원,,3,3
1555,1555,느루 연남점,4.6,2,와인과 잘 어울리는 파스타와 스테이크를 즐길 수 있는 곳,점심 저녁 동일가 1 - 3만원,예약,이탈리아음식,연남,마포구,양식,1 - 3만원,1 - 3만원,,1,3
1556,1556,모로미종각역점,5.0,1,대한민국 대표 이자카야 모로미 종각역점입니다,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,광화문,종로구,일식,영업안함,1 - 3만원,,1,3
1557,1557,뎅뎅바,5.0,1,반려견 동반이 가능한 분위기 있는 오뎅바,점심 영업안함 · 저녁 1 - 3만원,예약,일식,상암,마포구,일식,영업안함,1 - 3만원,,1,3
1558,1558,주돈집,5.0,2,"프리미엄 한돈, 한우 국밥, 한우 수육을 맛볼 수 있는 압구정 고깃집",점심 영업안함 · 저녁 1 - 3만원,예약,"육류,고기요리",도산공원,강남구,한식,영업안함,1 - 3만원,,1,3
1559,1559,라함키친 와인 바,5.0,2,제철 재료를 활용한 음식이 있는 연남의 와인바,점심 영업안함 · 저녁 1 - 3만원,예약,와인,연남,마포구,주류,영업안함,1 - 3만원,,1,3
1560,1560,카멜리아 연남,4.8,2,달콤한 디저트와 브런치로 특별한 시간을 선사하는 공간,점심 저녁 동일가 1 - 3만원,예약,이탈리아음식,연,마포구,양식,1 - 3만원,1 - 3만원,,1,3
1561,1561,훈이자카야,4.8,2,젊은 감각으로 일식을 훈만의 스타일로 재해석한 공간,점심 저녁 동일가 1 - 3만원,예약,이자카야,대치,강남구,일식,1 - 3만원,1 - 3만원,,1,3
1562,1562,연남화로,5.0,1,엄선된 고기와 함께 다양한 칵테일을 즐길 수 있는 화로구이 전문점,점심 영업안함 · 저녁 1 - 3만원,예약,"육류,고기요리",연남,마포구,한식,영업안함,1 - 3만원,,1,3
1563,1563,미가키,5.0,1,일식베이스로 주류와 같이 페어링하여 즐기기 좋은 요리,점심 영업안함 · 저녁 1 - 3만원,예약,일식,후암,용산구,일식,영업안함,1 - 3만원,,1,3
1564,1564,훈연,4.8,2,성수동 1등 카이센동 & 장어덮밥 맛집,점심 영업안함 · 저녁 1 - 3만원,예약,일식,서울숲,성동구,일식,영업안함,1 - 3만원,,1,3
