,shop_name,shop_rating,r_num,Category,Location,region,Price_range,nickname,user_rating,lun_di,times,review,save
10,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,applere****,4.5 ,저녁,2024.07.01,테이블은 없고 바타입의 식당이라 함박스테이크가 숯불에 구워지는  모습을 보며 기다리는 과정도 즐거웠습니다.  한 번에 3개가 나오는 게 아니라 먹는 속도에 따라 하나씩 주는 시스템이라 마지막까지 따뜻한 함박스태이크를 먹을 수 있었다는 게 제일 큰 장점인 것 같습니다. 밥은 계속 먹을 수 있지만 조금 질다는 느낌이 있어서 보다 찰진 밥이 된다면 더욱 일본같을 것 같습니다.   ,"3,065"
11,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,맥뿌기,5.0 ,점심,2024.05.26,"어머니와 함께 방문하게 되었는데, 결과적으로 너무 만족스러웠던 경험이었습니다.  첫 번째로, 역에서 가까운 거리여서 교통이 편리했습니다. 그리고, 예약을 통해 빠른 입장을 하게 되었는데 들어갈 때부터 밝게 맞이해주셔서 서비스가 좋다고 생각되었네요 ☺️  두 번째로, 구어와 함께 안내문이 제공되어서 식사법에 대해 이해하는데 무리가 없었습니다.  스테이크는 총 3개가 제공되는데, 크기와 다르게 고기가 빵빵하게 압축되어 있어서 다 먹고 나니 충분히 배불렀네요 🐽  마지막으로 샐러드와 레몬 사와 너무 맛있었습니다! 특히 사와는 레몬 알갱이가 톡톡 씹히는게 식감이 좋았네요.  재방문 하고 싶은 맛집이었어요 ㅎㅎ  ","3,065"
12,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,Soyeonkim07 ,4.3 ,점심,2024.06.20,양도 적당하고 밥맛이 좋았어요.  단지 고기의 느끼함을 잡아줄 야채가 다양하지 않은게 좀 아싑네요  ,"3,065"
13,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,저아세요,5.0 ,점심,2024.05.22,"벌써 3번째 방문입니다 여전히 너무 맛있고 가게가 깨끗해서 식사하면서도 기분이 좋아요. 너무 맛있어서 예전부터 궁금해했던 지인을 데려왔는데 지인도 밥 먹으면서, 돌아가는 내내 너무 맛있게 잘먹었다고 칭찬하고, 서비스해주시는 분들도 너무 좋으셔서 너무 기분이 좋아서 적은 금액이지만 구워주신 2분에게 팁도 드렸네요ㅋㅋㅋㅋㅋ 사진에 나오신 분이랑 사진엔 안찍혔지만 같이 구워주신 안경쓰신 남자분. 너무 감사히 잘먹었습니다. 같이간 지인도 너무 만족해했어요. 6월에 또 오겠습니다!  아크라거 맥주 최고!!  ","3,065"
14,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,찐갱최고,5.0 ,,2024.04.09,결론 : 밥 반공기도 못 먹는 사람이 밥 2공기 먹고 나옴! 존맛탱인정!  오후3시59분에 웨이팅 걸었을 때 7번 째 였습니다. 그래서 오후5시에 밥을 먹을 수 있었습니다. 키오스크로 주문해야하고 메뉴는 딱 단품 하나밖에 없습니다. 그만큼 정말 자신있다는 느낌이 들었어요. 정식 2개와 하이볼과 제로콜라를 주문하고 의자에 앉아 있으면 직원분들께서 극진히 대접해주십니다. 밥은 몇 공기를 먹든 무료이고 경기 평택 쌀로 갓지은 밥을 대접해주시는데 밥이 정말 맛있어요ㅎㅎㅎ 함바그는 총 3덩이가 나오는데 먹는 속도에 맞춰서 주시는 센스...<3 함바그는 촉촉하고 부드러워요! 일반 식당에서는 접할 수 없는 식감가 맛이라도 생각합니다. 육즙도 가득하구요. 아마 지금 일본에서 일하셨던 분들도 한국에 오셔서 같이 일하고 있더라구요! 그래서 일본에서 먹는 맛이랑 똑같다고 주위에서 그러는데 만족스러웠습니다. 그러니까 압구정 왔는데 이 함바그를 안 먹고 그냥 간다...? 그럼 다음 날 다시 와서 먹어야 하는 개존맛탱 맛집입니다. 제발 가주세요 제발ㅠㅠㅠㅠㅠ 아 그리고 하이볼은 달달하지 않아요! 딱 일본스타일입니다.  ,"3,065"
15,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,한여름밤,5.0 ,,2024.06.23,"함바그 정식 단일메뉴에요. 함바그가 세개 나오는데, 맛있게 먹는 방법을 친절하게 설명해 주셔서 더 맛있게 먹었습니다. 다양한 소스가 있는데, 저는 순수한 함바그맛이 좋아서 소스없이 먹는게 제일 맛있었습니다. 본점인 키치조지점을 가보고 싶지만 웨이팅이 어마어마 하더라구요. 한국에서 맛볼 수 있어서 만죡합니다.   ","3,065"
16,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,에이미석골찬,5.0 ,,2024.06.17,"도쿄 갈때마다 가보려고 했는데 실패해서 너무 아쉬웠는데 서울에 생겨서 기쁜맘에 방문했네요 ㅎㅎ 분위기도 독특하고 이것저것 뭐가 많아서 신기했습니다. 음료 메뉴도 많아서 좋았고요, 함박도 부드럽고 맛있습니다. 밥, 국 리필 되고요, 서비스도 친절하심. 살짝 비싼감은 있긴 하네요.  ","3,065"
17,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,edich,5.0 ,저녁,2024.05.31,본점은 예약이 힘들어서 못 가봤지만 확실히 원조는 다르네요. 밥이 진짜 맛있어요. 함박도 촉촉합니다. 계란 셀프인지 모르고 있다가 들고왔습니다. 예약해서도 있긴 하지만 아직까진 타이밍 잘 노리면 바로 입장가능합니다. 더 힘들어지기 전에 한번 더 가볼 예정입니다  ,"3,065"
18,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,hy0630,4.7 ,,2024.04.07,웨이팅 등록하고 내 번호로 몇 시 타임 식사가 가능한지 표기가 되어있다. 1시간 동안 20명을 받고 신선함 유지를 위해 그 타임 손님이 모두 빠진 후 정리하고 다음 타임 손님을 받는다는 내용. 때문에 누구는 십 분 만에 식사를 끝내고 누구는 한 시간 동안 식사를 한다 한들 그 시간 입장은 불가하다. 그래서 1번째임에도 불구하고 한 시간을 더 기다려야 했고 처음엔 이해가 안 갔는데 식사하는 도중 치우고 나가고 하는 일이 반복되면 이용에 불편할 거 같다는 생각. 아주 나중이 된다면 시부야처럼 예약금 받고 예약하는 시스템이 손님 입장엔 편할지도. 아무튼 한입 먹고 맛있어서 길바닥에서 한 시간 넘게 기다린 거 기분 풀렸고 사장님도 직원들도 너무 친절했다. 아무래도 육즙 가득 기름 가득이라 느끼함 없진 않은데 여러 가지 소스와 맛있는 밥 잘 어우러진다. 진짜 일본에 온 느낌. 당분간 못 가겠지만 일단 도산에 생긴 거 반갑고 이 브랜드 애정 하기 때문에 모두가 좋아하는 공간이 되었으면.  ,"3,065"
19,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,저아세요,5.0 ,점심,2024.05.09,이틀 연속 방문 첫째날은 함바그 5개에 생맥2잔 둘째날은 함바그8개에 생맥2잔 너무 맛있어서 계속 들어간다ㅋㅋㅋㅋ 지인들 데리고 자주 오겠습니다ㅋㅋ  ,"3,065"
